,DB_gpt_mean,DB_gpt_std,DB_gpt_1,DB_gpt_2,DB_gpt_3,DB_claude_mean,DB_claude_std,DB_claude_1,DB_claude_2,DB_claude_3,Web_gpt_mean,Web_gpt_std,Web_gpt_1,Web_gpt_2,Web_gpt_3,Web_claude_mean,Web_claude_std,Web_claude_1,Web_claude_2,Web_claude_3,OS_gpt_mean,OS_gpt_std,OS_claude_mean,OS_claude_std,Embodied_gpt_mean,Embodied_gpt_std,Embodied_gpt_1,Embodied_gpt_2,Embodied_gpt_3,Embodied_claude_mean,Embodied_claude_std,Embodied_claude_1,Embodied_claude_2,Embodied_claude_3
0,0.9,0,90,90,90,0.9,0,90,90,90,0.997695595,0.003258920832,1,1,0.9930867849,0.8458730154,0.02735081782,0.8787878788,0.8470098918,0.8118212756,1,0,1,0,0.997695595,0.003258920832,1,1,0.9930867849,0.8458730154,0.02735081782,0.8787878788,0.8470098918,0.8118212756
1,0.6,0,60,60,60,0.8333,5.773502692,80,90,80,0.1930911959,0.03825532116,0.1515151515,0.1838995784,0.2438588578,0.1818181818,0,0.1818181818,0.1818181818,0.1818181818,0.5,0.06234748502,0.5869565217,0.01024792437,0.1930911959,0.03825532116,0.1515151515,0.1838995784,0.2438588578,0.1818181818,0,0.1818181818,0.1818181818,0.1818181818
2,0.4333,5.773502692,50,40,40,0.5667,5.773502692,60,60,50,0.1417590345,0.007300721684,0.1515151515,0.1398074828,0.1339544693,0.202020202,0.01428498548,0.2121212121,0.1818181818,0.2121212121,0.5,0.02050609665,0.5652173913,0.01024792437,0.1417590345,0.007300721684,0.1515151515,0.1398074828,0.1339544693,0.202020202,0.01428498548,0.2121212121,0.1818181818,0.2121212121
3,0.4333,5.773502692,40,50,40,0.5333,5.773502692,50,60,50,0.1128769598,0.03696387802,0.0606060606,0.1395667014,0.1384581174,0.1212121212,1.39E-17,0.1212121212,0.1212121212,0.1212121212,0.3261,0.02710920303,0.4782608696,0.04696188912,0.1128769598,0.03696387802,0.0606060606,0.1395667014,0.1384581174,0.1212121212,1.39E-17,0.1212121212,0.1212121212,0.1212121212
4,0.4333,5.773502692,50,40,40,0.5,10,50,40,60,0.009042667393,0.01278826287,0,0,0.02712800218,0,0,0,0,0,0.2826,0.02710920303,0.347826087,0.05705802807,0.009042667393,0.01278826287,0,0,0.02712800218,0,0,0,0,0
5,0.2,0,20,20,20,0.2333,5.773502692,20,30,20,,,,,,,,,,,0.3478,0.01027661855,0.3913043478,0.02711345932,,,,,,,,,,
6,0.0333,5.773502692,0,0,10,0.0667,5.773502692,0,10,10,,,,,,,,,,,0.1957,0.03073557476,0.4130434783,0.01024792437,,,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.1957,0.03547678427,0.3260869565,0.04466966669,,,,,,,,,,
8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.087,0.01775881628,0.2608695652,0.02049584873,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.087,0.02050609665,0.1956521739,0.02049584873,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0435,0.02050609665,0.1956521739,0.01024792437,,,,,,,,,,
